pokemonName,attackName,text,effect_type,param1,param2
Venusaur,Mega Drain,Heal 30 damage from this Pokémon.,heal_self,30,
Venusaur ex,Giant Bloom,Heal 30 damage from this Pokémon.,heal_self,30,
Caterpie,Find a Friend,Put 1 random {G} Pokémon from your deck into your hand.,search_pokemon_type_random,grass,
Vileplume,Soothing Scent,Your opponent's Active Pokémon is now Asleep.,inflict_status,sleep,
Venomoth,Poison Powder,Your opponent's Active Pokémon is now Poisoned.,inflict_status,poison,
Exeggutor,Stomp,Flip a coin. If heads this attack does 30 more damage.,flip_bonus_damage_if_heads,1,30
Exeggutor ex,Tropical Swing,Flip a coin. If heads this attack does 40 more damage.,flip_bonus_damage_if_heads,1,40
Tangela,Absorb,Heal 10 damage from this Pokémon.,heal_self,10,
Pinsir,Double Horn,Flip 2 coins. This attack does 50 damage for each heads.,flip_multiplier,2,50
Petilil,Blot,Heal 10 damage from this Pokémon.,heal_self,10,
Lilligant,Leaf Supply,Take a {G} Energy from your Energy Zone and attach it to 1 of your Benched {G} Pokémon.,attach_energy_from_zone,grass,to_bench
Skiddo,Surprise Attack,Flip a coin. If tails this attack does nothing.,flip_do_nothing_if_tails,,
Charmander,Ember,Discard a {R} Energy from this Pokémon.,discard_energy_specific,fire,1
Charizard,Fire Spin,Discard 2 {R} Energy from this Pokémon.,discard_energy_specific,fire,2
Charizard ex,Crimson Storm,Discard 2 {R} Energy from this Pokémon.,discard_energy_specific,fire,2
Vulpix,Tail Whip,Flip a coin. If heads the Defending Pokémon can't attack during your opponent's next turn.,flip_inflict_effect_if_heads,attack_lock,
Ninetales,Flamethrower,Discard 1 {R} Energy from this Pokémon.,discard_energy_specific,fire,1
Arcanine,Heat Tackle,This Pokémon also does 20 damage to itself.,self_damage_fixed_amount,20,
Arcanine ex,Inferno Onrush,This Pokémon also does 20 damage to itself.,self_damage_fixed_amount,20,
Flareon,Flamethrower,Discard 1 {R} Energy from this Pokémon.,discard_energy_specific,fire,1
Moltres,Sky Attack,Flip a coin. If tails this attack does nothing.,flip_do_nothing_if_tails,,
Moltres ex,Inferno Dance,Flip 3 coins. Take an amount of {R} Energy from your Energy Zone equal to the number of heads and attach it to your Benched {R} Pokémon in any way you like.,attach_energy_from_zone,fire,count_heads
Centiskorch,Fire Blast,Discard a {R} Energy from this Pokémon.,discard_energy_specific,fire,1
Blastoise,Hydro Pump,If this Pokémon has at least 2 extra {W} Energy attached this attack does 60 more damage.,extra_damage_if_extra_energy_attached,water,2|60
Blastoise ex,Hydro Bazooka,If this Pokémon has at least 2 extra {W} Energy attached this attack does 60 more damage.,extra_damage_if_extra_energy_attached,water,2|60
Psyduck,Headache,Your opponent can't use any Supporter cards during their next turn.,inflict_effect,block_supporter,
Tentacruel,Poison Tentacles,Your opponent's Active Pokémon is now Poisoned.,inflict_status,poison,
Kingler,KO Crab,Flip 2 coins. If both are heads this attack does 80 more damage.,flip_bonus_if_double_heads,,80
Seadra,Water Arrow,This attack does 50 damage to 1 of your opponent's Pokémon.,bench_damage_one,opponent,50
Seaking,Horn Hazard,Flip a coin. If tails this attack does nothing.,flip_do_nothing_if_tails,,
Gyarados,Hyper Beam,Discard a random Energy from your opponent's Active Pokémon.,discard_random_energy_from_opponent,1,
Lapras,Hydro Pump,If this Pokémon has at least 3 extra {W} Energy attached this attack does 70 more damage.,extra_damage_if_extra_energy_attached,water,3|70
Vaporeon,Bubble Drain,Heal 30 damage from this Pokémon.,heal_self,30,
Omastar,Ancient Whirlpool,During your opponent's next turn the Defending Pokémon can't attack.,inflict_effect,attack_lock,
Articuno,Ice Beam,Flip a coin. If heads your opponent's Active Pokémon is now Paralyzed.,flip_inflict_status_if_heads,paralysis,
Articuno ex,Blizzard,This attack also does 10 damage to each of your opponent's Benched Pokémon.,bench_damage_all_opponent,10,
Bruxish,Second Strike,If your opponent's Active Pokémon has damage on it this attack does 60 more damage.,bonus_damage_if_opponent_damaged,60,
Frosmoth,Powder Snow,Your opponent's Active Pokémon is now Asleep.,inflict_status,sleep,
Raichu,Thunderbolt,Discard all Energy from this Pokémon.,discard_energy_all,,
Pikachu ex,Circle Circuit,This attack does 30 damage for each of your Benched {L} Pokémon.,bonus_damage_for_each_typed_bench,lightning,30
Electabuzz,Thunder Punch,Flip a coin. If heads this attack does 40 more damage. If tails this Pokémon also does 20 damage to itself.,flip_bonus_damage_with_self_damage,40,20
Jolteon,Pin Missile,Flip 4 coins. This attack does 40 damage for each heads.,flip_multiplier,4,40
Zapdos,Raging Thunder,This attack also does 30 damage to 1 of your Benched Pokémon.,bench_damage_one,self,30
Zapdos ex,Thundering Hurricane,Flip 4 coins. This attack does 50 damage for each heads.,flip_multiplier,4,50
Zebstrika,Thunder Spear,This attack does 30 damage to 1 of your opponent's Pokémon.,bench_damage_one,opponent,30
Eelektross,Thunder Fang,Flip a coin. If heads your opponent's Active Pokémon is now Paralyzed.,flip_inflict_status_if_heads,paralysis,
Heliolisk,Quick Attack,Flip a coin. If heads this attack does 40 more damage.,flip_bonus_damage_if_heads,1,40
Pincurchin,Thunder Shock,Flip a coin. If heads your opponent's Active Pokémon is now Paralyzed.,flip_inflict_status_if_heads,paralysis,
Abra,Teleport,Switch this Pokémon with 1 of your Benched Pokémon.,switch_self_with_bench,,
Alakazam,Psychic,This attack does 30 more damage for each Energy attached to your opponent's Active Pokémon.,bonus_damage_for_each_energy_on_opponent,30,
Gengar,Bother,Your opponent can't use any Supporter cards during their next turn.,inflict_effect,block_supporter,
Mr. Mime,Barrier Attack,During your opponent's next turn this Pokémon takes 20 less damage from attacks.,reduce_incoming_damage_next_turn,20,
Jynx,Psychic,This attack does 20 more damage for each Energy attached to your opponent's Active Pokémon.,bonus_damage_for_each_energy_on_opponent,20,
Mewtwo,Power Blast,Discard 2 {P} Energy from this Pokémon.,discard_energy_specific,psychic,2
Mewtwo ex,Psydrive,Discard 2 {P} Energy from this Pokémon.,discard_energy_specific,psychic,2
Golurk,Double Lariat,Flip 2 coins. This attack does 100 damage for each heads.,flip_multiplier,2,100
Dugtrio,Dig,Flip a coin. If heads during your opponent's next turn prevent all damage and effects done to this Pokémon.,flip_inflict_effect_if_heads,prevent_damage_next_turn,
Primeape,Fight Back,If this Pokémon has damage on it this attack does 60 more damage.,bonus_damage_if_self_damaged,60,
Golem,Double-Edge,This Pokémon also does 50 damage to itself.,self_damage_fixed_amount,50,
Cubone,Growl,During your opponent's next turn attacks used by the Defending Pokémon do −20 damage.,inflict_effect,reduce_damage_next_turn,20
Marowak ex,Bonemerang,Flip 2 coins. This attack does 80 damage for each heads.,flip_multiplier,2,80
Hitmonlee,Stretch Kick,This attack does 30 damage to 1 of your opponent's Pokémon.,bench_damage_one,opponent,30
Kabutops,Leech Life,Heal from this Pokémon the same amount of damage you did to your opponent's Active Pokémon.,heal_equal_to_damage_done,,
Grapploct,Knock Back,Switch out your opponent's Active Pokémon to the Bench.,force_opponent_switch,,
Arbok,Corner,During your opponent's next turn the Defending Pokémon can't retreat.,inflict_effect,retreat_lock,
Nidoran♀,Call for Family,Put 1 random Nidoran♂ from your deck onto your Bench.,search_specific_into_bench,Nidoran♂,
Nidoqueen,Lovestrike,This attack does 50 more damage for each of your Benched Nidoking.,bonus_damage_for_each_named_bench,Nidoking,50
Nidoking,Poison Horn,Your opponent's Active Pokémon is now Poisoned.,inflict_status,poison,
Grimer,Poison Gas,Your opponent's Active Pokémon is now Poisoned.,inflict_status,poison,
Muk,Venoshock,If your opponent's Active Pokémon is Poisoned this attack does 50 more damage.,bonus_damage_if_opponent_poisoned,50,
Mawile,Crunch,Flip a coin. If heads discard a random Energy from your opponent's Active Pokémon.,flip_discard_random_from_opponent,1,
Meltan,Amass,Take 1 {M} Energy from your Energy Zone and attach it to this Pokémon.,attach_energy_from_zone,metal,self
Dragonite,Draco Meteor,1 of your opponent's Pokémon is chosen at random 4 times. For each time do 50 damage.,random_multi_target_damage,4,50
Fearow,Drill Run,Flip a coin. If heads discard a random Energy from your opponent's Active Pokémon.,flip_discard_random_from_opponent,1,
Wigglytuff ex,Sleepy Song,Your opponent's Active Pokémon is now Asleep.,inflict_status,sleep,
Meowth,Pay Day,Draw a card.,draw_cards,1,
Persian,Shadow Claw,Flip a coin. If heads discard a random card from your opponent's hand.,flip_discard_random_from_opponent_hand,1,
Lickitung,Continuous Lick,Flip a coin until you get tails. This attack does 60 damage for each heads.,flip_until_tails_multiplier,60,
Kangaskhan,Dizzy Punch,Flip 2 coins. This attack does 30 damage for each heads.,flip_multiplier,2,30
Ditto,Copy Anything,Choose 1 of your opponent's Pokémon's attacks and use it.,copy_opponent_attack,,
Aerodactyl,Primal Wingbeat,Flip a coin. If heads your opponent shuffles their Active Pokémon into their deck.,flip_force_shuffle_opponent_pokemon_into_deck,,
Cinccino,Do the Wave,This attack does 30 damage for each of your Benched Pokémon.,bonus_damage_for_each_bench,30,
Pinsir,Double Horn,Flip 2 coins. This attack does 50 damage for each heads.,flip_multiplier,2,50
Charmander,Ember,Discard a {R} Energy from this Pokémon.,discard_energy_specific,fire,1
Gyarados,Hyper Beam,Discard a random Energy from your opponent's Active Pokémon.,discard_random_energy_from_opponent,1,
