set,number,pokemonName,attackName,effect_type,param1,param2,effect_text,damageBase,damageNotation
A1,3,Venusaur,Mega Drain,heal_self,30,,Heal 30 damage from this Pokémon.,80.0,80
A1,4,Venusaur ex,Giant Bloom,heal_self,30,,Heal 30 damage from this Pokémon.,100.0,100
A1,5,Caterpie,Find a Friend,search_pokemon_type_random,grass,,Put 1 random {G} Pokémon from your deck into your hand.,0.0,
A1,13,Vileplume,Soothing Scent,inflict_status,sleep,,Your opponent's Active Pokémon is now Asleep.,80.0,80
A1,17,Venomoth,Poison Powder,inflict_status,poison,,Your opponent's Active Pokémon is now Poisoned.,30.0,30
A1,22,Exeggutor,Stomp,flip_bonus_damage_if_heads,1,30,Flip a coin. If heads this attack does 30 more damage.,30.0,30+
A1,23,Exeggutor ex,Tropical Swing,flip_bonus_damage_if_heads,1,40,Flip a coin. If heads this attack does 40 more damage.,40.0,40+
A1,24,Tangela,Absorb,heal_self,10,,Heal 10 damage from this Pokémon.,40.0,40
A1,26,Pinsir,Double Horn,flip_multiplier,2,50,Flip 2 coins. This attack does 50 damage for each heads.,50.0,50×
A1,29,Petilil,Blot,heal_self,10,,Heal 10 damage from this Pokémon.,10.0,10
A1,30,Lilligant,Leaf Supply,attach_energy_from_zone,grass,to_bench,Take a {G} Energy from your Energy Zone and attach it to 1 of your Benched {G} Pokémon.,50.0,50
A1,31,Skiddo,Surprise Attack,flip_do_nothing_if_tails,,,Flip a coin. If tails this attack does nothing.,40.0,40
A1,33,Charmander,Ember,discard_energy_specific,fire,1,Discard a {R} Energy from this Pokémon.,30.0,30
A1,35,Charizard,Fire Spin,discard_energy_specific,fire,2,Discard 2 {R} Energy from this Pokémon.,150.0,150
A1,36,Charizard ex,Crimson Storm,discard_energy_specific,fire,2,Discard 2 {R} Energy from this Pokémon.,200.0,200
A1,37,Vulpix,Tail Whip,flip_inflict_effect_if_heads,attack_lock,,Flip a coin. If heads the Defending Pokémon can't attack during your opponent's next turn.,0.0,
A1,38,Ninetales,Flamethrower,discard_energy_specific,fire,1,Discard 1 {R} Energy from this Pokémon.,90.0,90
